,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres
45,73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,The Good Dinosaur,BV,209100000.0,2015,"[12, 16, 10751]",17.675,tt1979388,93.0,"Adventure,Animation,Comedy"
46,77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2012,Brave,BV,303200000.0,2012,[28],0.6,tt1217209,93.0,"Adventure,Animation,Comedy"
47,77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2012,Brave,BV,303200000.0,2012,"[16, 12, 35, 10751, 28, 14]",18.908,tt1217209,93.0,"Adventure,Animation,Comedy"
48,78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,2017,Kong: Skull Island,WB,398600000.0,2017,"[28, 12, 14]",29.388,tt3731562,118.0,"Action,Adventure,Fantasy"
49,79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,Star Trek Beyond,Par.,184600000.0,2016,"[28, 12, 878]",19.142,tt2660888,122.0,"Action,Adventure,Sci-Fi"
50,80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,Blade Runner 2049,WB,167200000.0,2017,"[878, 28, 53]",48.57100000000001,tt1856101,164.0,"Drama,Mystery,Sci-Fi"
51,80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,Blade Runner 2049,WB,167200000.0,2017,"[878, 28, 53]",48.57100000000001,tt1856101,164.0,"Drama,Mystery,Sci-Fi"
52,82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,Thor: Ragnarok,BV,538900000.0,2017,"[28, 12, 35, 14]",43.45,tt3501632,130.0,"Action,Adventure,Comedy"
53,82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,Thor: Ragnarok,BV,538900000.0,2017,"[28, 12, 35, 14]",43.45,tt3501632,130.0,"Action,Adventure,Comedy"
54,84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,Maleficent,BV,517100000.0,2014,"[14, 12, 28, 10751, 10749]",19.274,tt1587310,97.0,"Action,Adventure,Family"
55,88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,The Legend of Tarzan,WB,230100000.0,2016,"[28, 12]",14.797,tt0918940,110.0,"Action,Adventure,Drama"
56,89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,Hugo,Par.,111900000.0,2011,"[12, 18, 10751]",12.936,tt0970179,126.0,"Adventure,Drama,Family"
57,89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,Hugo,Par.,111900000.0,2011,"[12, 18, 10751]",12.936,tt7496196,80.0,Documentary
58,90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,Valerian and the City of a Thousand Planets,STX,184700000.0,2017,"[12, 878, 28]",24.003,tt2239822,137.0,"Action,Adventure,Fantasy"
59,91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,Jupiter Ascending,WB,136600000.0,2015,"[878, 14, 28, 12]",24.058000000000003,tt1617661,127.0,"Action,Adventure,Sci-Fi"
60,93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,2016,X-Men: Apocalypse,Fox,388500000.0,2016,"[28, 12, 878, 14]",39.293,tt3385516,144.0,"Action,Adventure,Sci-Fi"
61,94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,2018,The Meg,WB,384800000.0,2018,"[28, 878, 53, 27]",31.397,tt4779682,113.0,"Action,Horror,Sci-Fi"
62,95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2014,Edge of Tomorrow,WB,270300000.0,2014,"[28, 878]",19.753,tt1631867,113.0,"Action,Sci-Fi"
63,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 80]",4.758,tt1640486,93.0,"Crime,Drama"
64,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 80]",4.758,tt1865538,74.0,Documentary
65,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 80]",4.758,tt2071483,59.0,Family
66,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 80]",4.758,tt2096673,95.0,"Adventure,Animation,Comedy"
67,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 80]",4.758,tt2608638,75.0,"Biography,Documentary,History"
68,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 35, 16, 10751]",24.797,tt1640486,93.0,"Crime,Drama"
69,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 35, 16, 10751]",24.797,tt1865538,74.0,Documentary
70,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 35, 16, 10751]",24.797,tt2071483,59.0,Family
71,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 35, 16, 10751]",24.797,tt2096673,95.0,"Adventure,Animation,Comedy"
72,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out,BV,501100000.0,2015,"[18, 35, 16, 10751]",24.797,tt2608638,75.0,"Biography,Documentary,History"
73,99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,2017,Spider-Man: Homecoming,Sony,546000000.0,2017,"[28, 12, 878, 18]",46.775,tt2250912,133.0,"Action,Adventure,Sci-Fi"
74,100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,2016,Suicide Squad,WB,421700000.0,2016,"[28, 12, 80, 14, 878]",16.53,tt1386697,123.0,"Action,Adventure,Fantasy"
75,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Coco,BV,597400000.0,2017,"[16, 10751, 35, 12, 14]",25.961,tt2380307,105.0,"Adventure,Animation,Comedy"
76,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Coco,BV,597400000.0,2017,"[16, 10751, 35, 12, 14]",25.961,tt7002100,98.0,Horror
77,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Coco,BV,597400000.0,2017,"[16, 10751, 35, 12, 14]",25.961,tt2380307,105.0,"Adventure,Animation,Comedy"
78,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Coco,BV,597400000.0,2017,"[16, 10751, 35, 12, 14]",25.961,tt7002100,98.0,Horror
79,5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,Cars 3,BV,231000000.0,2017,"[12, 16, 35, 10751]",18.427,tt3606752,102.0,"Adventure,Animation,Comedy"
80,11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,2017,King Arthur: Legend of the Sword,WB,109500000.0,2017,"[28, 18, 14]",21.793000000000006,tt1972591,126.0,"Action,Adventure,Drama"
81,12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,2013,47 Ronin,Uni.,113400000.0,2013,"[18, 28, 12, 14]",25.049,tt1335975,128.0,"Action,Adventure,Drama"
