id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres,profit,profit_rate
75,2015-05-15,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,2015,WB,224800000.0,2015,"[28, 12, 878]",28.099,tt1392190,120.0,"Action,Adventure,Sci-Fi",220098020.0,146.73201333333336
78,2018-03-29,Ready Player One,150000000.0,137690172.0,579290136.0,2018,WB,445200000.0,2018,"[12, 878]",30.029,tt1677720,140.0,"Action,Adventure,Sci-Fi",429290136.0,286.193424
87,2012-03-30,Wrath of the Titans,150000000.0,83670083.0,305270083.0,2012,WB,221600000.0,2012,"[14, 12, 28]",14.991,tt1646987,99.0,"Action,Adventure,Fantasy",155270083.0,103.51338866666666
89,2012-05-11,Dark Shadows,150000000.0,79727149.0,238202668.0,2012,WB,165800000.0,2012,"[35, 14]",15.75,tt1077368,113.0,"Comedy,Fantasy,Horror",88202668.0,58.80177866666667
90,2013-06-28,White House Down,150000000.0,73103784.0,205440387.0,2013,Sony,132300000.0,2013,"[28, 18, 53]",13.026,tt2334879,131.0,"Action,Drama,Thriller",55440387.0,36.960258
92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2017,Uni.,289400000.0,2017,"[28, 12, 14]",19.144,tt2034800,103.0,"Action,Adventure,Fantasy",184486852.0,122.99123466666666
92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2017,Uni.,289400000.0,2017,"[28, 12, 14]",19.144,tt7535780,72.0,Documentary,184486852.0,122.99123466666666
93,2015-10-09,Pan,150000000.0,35088320.0,151525973.0,2015,WB,93300000.0,2015,"[12, 10751, 14]",13.054,tt3332064,111.0,"Adventure,Comedy,Family",1525973.0,1.0173153333333333
94,2011-03-11,Mars Needs Moms,150000000.0,21392758.0,39549758.0,2011,BV,17600000.0,2011,"[12, 16, 10751]",8.852,tt1305591,88.0,"Adventure,Animation,Family",-110450242.0,-73.63349466666666
97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,2012,P/DW,530500000.0,2012,"[16, 10751, 35]",18.705,tt1277953,93.0,"Adventure,Animation,Comedy",601921271.0,415.1181179310345
99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,2014,Fox,444500000.0,2014,"[14, 28, 12, 16, 35, 10751]",27.106,tt1646971,102.0,"Action,Adventure,Animation",469586270.0,323.8526
1,2014-03-07,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,2014,Fox,164200000.0,2014,"[16, 12, 10751]",12.813,tt0864835,92.0,"Adventure,Animation,Comedy",124806430.0,86.0734
2,2012-11-21,Rise of the Guardians,145000000.0,103412758.0,306900902.0,2012,P/DW,203500000.0,2012,"[16, 10751, 14]",14.934,tt1446192,97.0,"Action,Adventure,Animation",161900902.0,111.65579448275862
10,2011-07-22,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,2011,Par.,193900000.0,2011,"[28, 12, 878]",25.808000000000003,tt0458339,124.0,"Action,Adventure,Sci-Fi",230569776.0,164.69269714285716
11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,2016,Fox,377600000.0,2016,"[28, 12, 16, 35, 10751]",16.248,tt2267968,95.0,"Action,Adventure,Animation",377599142.0,269.71367285714285
13,2013-03-27,G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,2013,Par.,253200000.0,2013,"[12, 28, 878, 53]",15.065,tt1583421,110.0,"Action,Adventure,Sci-Fi",235740705.0,168.38621785714284
16,2014-12-12,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,2014,Fox,203200000.0,2014,"[12, 18, 28]",26.789,tt1528100,150.0,"Action,Adventure,Drama",128314513.0,91.65322357142857
17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,2016,BV,127900000.0,2016,"[12, 10751, 14]",20.08,tt3691740,117.0,"Adventure,Family,Fantasy",59646680.0,42.60477142857143
18,2016-02-26,Gods of Egypt,140000000.0,31153464.0,138836756.0,2016,LG/S,119500000.0,2016,"[28, 12, 14, 878]",18.517,tt2404233,127.0,"Action,Adventure,Fantasy",-1163244.0,-0.8308885714285714
26,2013-03-22,The Croods,135000000.0,187168425.0,573068425.0,2013,Fox,400000000.0,2013,"[28, 12, 16, 35, 10751, 14]",16.29,tt0481499,98.0,"Action,Adventure,Animation",438068425.0,324.4951296296296
27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,2015,Fox,349300000.0,2015,"[37, 18, 12]",19.41,tt1663202,156.0,"Action,Adventure,Biography",397938302.0,294.7691125925926
27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,2015,Fox,349300000.0,2015,"[37, 18, 12]",19.41,tt3300078,80.0,Horror,397938302.0,294.7691125925926
29,2011-03-04,Rango,135000000.0,123477607.0,245724600.0,2011,Par.,122200000.0,2011,"[16, 35, 10751, 37, 12]",14.462,tt1192628,107.0,"Adventure,Animation,Comedy",110724600.0,82.01822222222222
31,2013-07-17,Turbo,135000000.0,83028130.0,286896578.0,2013,Fox,199500000.0,2013,"[16, 10751]",14.876,tt1860353,96.0,"Adventure,Animation,Comedy",151896578.0,112.51598370370371
32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,2016,Par.,163600000.0,2016,"[28, 12, 35, 10751, 878]",15.095999999999998,tt3949660,112.0,"Action,Adventure,Comedy",110328374.0,81.72472148148148
33,2011-11-18,Happy Feet Two,135000000.0,64006466.0,157956466.0,2011,WB,86400000.0,2011,"[16, 35, 10751]",8.131,tt1402488,100.0,"Adventure,Animation,Comedy",22956466.0,17.00478962962963
35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,2018,BV,119100000.0,2018,"[14, 12, 10751]",26.235,tt5523010,99.0,"Adventure,Family,Fantasy",37393899.0,28.1368690744921
37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2014,Fox,289700000.0,2014,"[10751, 16, 12, 35]",20.899,tt1911658,92.0,"Adventure,Animation,Comedy",234942531.0,177.9867659090909
38,2013-11-22,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,2013,LGF,440300000.0,2013,"[12, 28, 878]",20.187,tt1951264,146.0,"Action,Adventure,Sci-Fi",734868047.0,565.2831130769231
41,2018-07-06,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,2018,BV,406000000.0,2018,"[28, 12, 878, 35]",44.729,tt5095030,118.0,"Action,Adventure,Comedy",493144660.0,379.3420461538461
43,2015-07-17,Ant-Man,130000000.0,180202163.0,518858449.0,2015,BV,339100000.0,2015,"[878, 28, 12]",32.715,tt0478970,117.0,"Action,Adventure,Comedy",388858449.0,299.1218838461538
