,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,original_language,original_title,popularity,vote_average,vote_count
398,18,2018-12-21,Welcome to Marwen,45000000.0,10763520.0,12874922.0,2018,Welcome to Marwen,Uni.,2100000.0,2018,"[18, 35, 14]",en,Welcome to Marwen,22.031999999999996,6.6,286
399,19,2011-10-21,Johnny English Reborn,45000000.0,8406711.0,164640401.0,2011,Johnny English Reborn,Uni.,151800000.0,2011,"[80, 12, 28, 35, 53]",en,Johnny English Reborn,15.542,6.1,1810
400,27,2012-10-12,Argo,44500000.0,136025503.0,227140757.0,2012,Argo,WB,96300000.0,2012,"[18, 53]",en,Argo,15.793,7.2,5127
401,35,2013-06-28,The Heat,43000000.0,159581587.0,229727774.0,2013,The Heat,Fox,70300000.0,2013,"[28, 35, 80]",en,The Heat,16.912,6.6,2441
402,41,2017-01-06,A Monster Calls,43000000.0,3740823.0,46414530.0,2017,A Monster Calls,Focus,43600000.0,2016,"[18, 14]",en,A Monster Calls,11.128,7.1,1918
403,41,2017-01-06,A Monster Calls,43000000.0,3740823.0,46414530.0,2017,A Monster Calls,Focus,43600000.0,2016,"[18, 14]",en,A Monster Calls,11.128,7.1,1918
404,42,2011-01-28,The Mechanic,42500000.0,29121498.0,76347393.0,2011,The Mechanic,CBS,47000000.0,2011,"[28, 53, 80]",en,The Mechanic,14.387,6.3,1676
405,44,2012-03-16,21 Jump Street,42000000.0,138447667.0,202812429.0,2012,21 Jump Street,Sony,63100000.0,2012,"[28, 35, 80]",en,21 Jump Street,14.835999999999999,6.8,6527
406,51,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,2017,Snatched,Fox,15000000.0,2017,[35],en,Snatched,0.725,3.5,2
407,51,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,2017,Snatched,Fox,15000000.0,2017,"[28, 35]",en,Snatched,10.92,5.3,495
408,52,2012-10-12,Here Comes the Boom,42000000.0,45290318.0,73239258.0,2012,Here Comes the Boom,Sony,27800000.0,2012,"[28, 35]",en,Here Comes the Boom,10.265,6.0,812
